,material,pressure,temperature,delta_e,delta_e_err,delta_h,delta_h_err,delta_pv,delta_pv_err,delta_gt,delta_gt_err,q_st,q_st_err
113,LTL-0,1.0,77.0,-4.425718056813881,0.013086936587639375,-5.066758859185841,0.01324156951183797,-0.6410408023719584,0.0001546329241984834,-1.9843494615944517,0.004740132033894229,-4.93506865498825,0.004147705021594117
114,LTN-0,1.0,77.0,-5.6014118492148475,0.008915288229886187,-6.241218524946743,0.009085174776301663,-0.6398066757318958,0.00016988654641558742,-2.122995232895671,0.008120663203651679,-5.562193346408053,0.1330378326724495
115,MAR-0,1.0,77.0,-6.31346549485512,0.013294464647182203,-6.954232693798481,0.013115538544268723,-0.6407671989433606,0.00017892610291370126,-2.236973992290523,0.003919940619125928,-6.570213503306055,0.006438239902812892
116,MAZ-0,1.0,77.0,-5.161744270519688,0.018729276233001357,-5.802632452988979,0.018948535001629185,-0.6408881824692914,0.00021925876862760596,-2.002725833515795,0.00367609354366083,-5.248649608560905,0.16987741583329719
117,MEI-0,1.0,77.0,-4.430176278324255,0.014562831586308889,-5.070710318387755,0.014702410180618575,-0.6405340400635009,0.00013957859430974162,-2.09896026034413,0.009081698398734961,-4.890547381764794,0.1624370956607457
118,MEL-0,1.0,77.0,-5.003847412893666,0.0036258347011672853,-5.644264363822221,0.0034029149268990366,-0.6404169509285547,0.00022291977426841525,-2.1630047461942503,0.006108476903175619,-5.54796960886951,0.04429582233765572
119,MEP-0,1.0,77.0,-6.932308837802915,0.00013763604076011404,-7.573148364622808,0.0003942941821986068,-0.6408395268198929,0.00025665814143849275,-2.3278590163915847,0.0006808649684200141,-6.869530647369208,0.03758471211800485
120,MER-0,1.0,77.0,-6.681447679463785,0.004110245522955136,-7.322070625354106,0.003842930137493372,-0.6406229458903221,0.00026731538546193034,-2.48157931047076,0.0021444636435117292,-6.518456992803692,0.0805208468184544
121,MFI-0,1.0,77.0,-5.469218909126663,0.000587205392271084,-6.109757638258994,0.0008376612429898955,-0.6405387291323303,0.000250455850718867,-2.2211672521480454,0.005531769223342309,-5.948898526886133,0.029962737514491966
122,MFS-0,1.0,77.0,-5.13707698029747,0.028945761633808242,-5.777157912310591,0.029068071957673247,-0.6400809320131216,0.0001223103238648382,-2.137414424965275,0.014824773239259459,-5.960241188886528,0.09808250845382949
123,MON-0,1.0,77.0,-6.655380973012726,0.0017404231069666487,-7.296022922631359,0.0019256077127365323,-0.6406419496186342,0.0001851846057698281,-2.550378123251684,0.01020971091333811,-7.337186596582331,0.07231501568005783
124,MOR-0,1.0,77.0,-6.03339598634976,0.007098512634577503,-6.67365494057969,0.007118281004983906,-0.64025895422993,1.9768370406347824e-05,-2.2151931226679236,0.0010165241903150601,-5.429737878891745,0.07154350871445825
125,MOZ-0,1.0,77.0,-5.016621357849571,0.008230485028886125,-5.657403817068195,0.008808208022485164,-0.6407824592186235,0.0005777229935992056,-2.0657611880610975,0.0021037920413939926,-5.327339585392593,0.17220771689622572
126,MRE-0,1.0,77.0,-5.218617432324342,0.00108869081006846,-5.859476532058308,0.0008644133356625616,-0.6408590997339672,0.00022427747440595391,-1.8326863385581544,0.0006231925629234247,-5.7175806032327925,0.010881154652627956
127,MSE-0,1.0,77.0,-4.3923644145778535,0.00808851821961376,-5.0326337518240125,0.008726970964395342,-0.640269337246159,0.0006384527447811372,-2.1025086448597152,0.0030059168201210795,-4.955769605066063,0.022300401976765638
128,MSO-0,1.0,77.0,-5.209075574758076,0.005910724509093246,-5.849971936932555,0.006362847358455159,-0.640896362174479,0.0004521228493619689,-2.1178075335662085,0.0008934311520181204,-6.0016171014514885,0.03133425279098345
129,MTF-0,1.0,77.0,-5.985803818347163,0.005909265705631217,-6.626433934786231,0.005516148531249154,-0.6406301164390678,0.0003931171743818962,-2.117514010741715,0.0012720892331072875,-7.058907726745151,0.0036534387469733254
130,MTN-0,1.0,77.0,-6.649670285789256,0.0018802891705056446,-7.290247325688439,0.0015371414637268543,-0.6405770398991837,0.0003431477067789568,-2.3634442680457757,0.001359236382283413,-6.045386481449455,0.009530187543846047
131,MTT-0,1.0,77.0,-5.289308069319924,0.009221658646985986,-5.929719291151951,0.009224000796562937,-0.6404112218320275,2.3421495770614698e-06,-2.0214335523921605,0.0056536433198135505,-6.272289358887228,0.03869739776194603
132,MTW-0,1.0,77.0,-5.220078281356937,0.003666654826674165,-5.860893680987727,0.0036313873251190287,-0.6408153996307894,3.526750155480318e-05,-2.098683609549399,0.005311043417149719,-6.192891775972459,0.023113915007730856
133,MVY-0,1.0,77.0,-4.479808584633252,0.07702550773640615,-5.120352901442467,0.0766527060863611,-0.6405443168092142,0.0003728016500449405,-0.04017677122836068,0.012444784369641231,-5.117730591913613,0.03860344021571516
134,MWF-0,1.0,77.0,-6.568145250635323,0.0014669092928434324,-7.208694636537665,0.0016812048400423052,-0.6405493859023419,0.0002142955471989283,-2.4827712094902834,0.0034981986248665553,-6.247442382248303,0.15734711299004545
135,MWW-0,1.0,77.0,-4.989962269019113,0.011071793669465091,-5.630282350164396,0.010747208563702149,-0.6403200811452832,0.00032458510576316435,-2.2227166396576896,0.0002581522059770247,-5.2299726253628025,0.16691996020393418
136,NAB-0,1.0,77.0,-6.457561386618351,4.0006810442250185e-06,-7.098021733107064,0.0006564818641443537,-0.6404603464887133,0.0006524811831000732,-2.258325248265079,0.008828271396797538,-6.654582442046092,0.0013843106930542248
137,NAT-0,1.0,77.0,-5.82779674779254,0.004610299355181535,-6.468422854147598,0.004691085572536835,-0.6406261063550589,8.07862173553553e-05,-2.4283070611010054,0.00020714746709704634,-6.59753661600903,0.004337302293892176
138,NES-0,1.0,77.0,-4.733506039916372,0.0020826903024131482,-5.373941046198439,0.0021439563291738573,-0.6404350062820672,6.126602676076454e-05,-2.154590209853458,0.010256593528750857,-5.531930052439933,0.16692022039900944
139,NON-0,1.0,77.0,-5.330010122632674,0.00016451218497870457,-5.970468316696295,8.59362385821072e-05,-0.6404581940636209,0.0002504484235609783,-2.042611485730341,0.0012423085438197923,-6.2225395499786895,0.0038749818588428298
140,NPO-0,1.0,77.0,-5.799484476778591,0.00731035966207072,-6.439561162404496,0.007499624012710537,-0.6400766856259041,0.0001892643506399283,-1.8496133914651918,0.002091198477258027,-6.330332827017678,0.0002517399724735192
141,NPT-0,1.0,77.0,-4.473401496454491,0.03715335787809737,-5.11359241399446,0.03727553068806966,-0.6401909175399694,0.0001221728099721764,-2.049357121382952,0.019934406213138356,-5.052506435435873,0.07796740676439162
142,NSI-0,1.0,77.0,-6.54957114981349,0.004562306747679212,-7.190185492163904,0.0046425519779371704,-0.6406143423504143,8.024523025812469e-05,-2.2883131980423226,0.005721519280969423,-7.307925784351367,0.05121118279224879
143,OBW-0,1.0,77.0,-4.108464443189594,0.04991954500636009,-4.748997744380604,0.050140996115921155,-0.6405333011910108,0.00022145110956112157,-2.030134006467556,0.016696696069500305,-4.3164938598915805,0.1323806009687205
144,OFF-0,1.0,77.0,-5.056946752729738,0.01395143283322886,-5.697272317985465,0.014181149722904962,-0.640325565255728,0.000229716889676157,-2.1535755221124484,0.01061060446907125,-5.628747580731814,0.06699767076402452
145,OKO-0,1.0,77.0,-4.639630248305922,0.006283994225093625,-5.279903059738437,0.006097876086046394,-0.6402728114325149,0.00018611813904728658,-2.1493400938768863,0.0017662190224954077,-5.3947316352332955,0.0337424505913142
146,OSI-0,1.0,77.0,-4.80725838841941,0.0015763999548750185,-5.447333296228032,0.0020511967477379045,-0.6400749078086219,0.00047479679286316356,-2.043087933688688,0.001722789636434241,-5.931115699987932,0.00032396917596688724
147,OSO-0,1.0,77.0,-4.156644099919832,0.0013643976214967601,-4.797286823440632,0.0015532501808781518,-0.6406427235207991,0.00018885255938161372,-2.1190192846153106,0.009918742878451958,-4.947158022455401,0.06040223208386175
148,OWE-0,1.0,77.0,-5.702885314301959,0.0016947540263925198,-6.3429831885842765,0.001634417236743957,-0.640097874282318,6.0336789648451905e-05,-2.259381592594839,0.00700763430581075,-6.3030452080579025,0.014239092863066904
149,PAU-0,1.0,77.0,-6.566020914988491,0.004354383317640043,-7.206256770566809,0.004913841360154159,-0.6402358555783182,0.000559458042513783,-2.484834775813889,0.0007608462740558153,-6.3574199513611,0.18175727186104185
150,PCR-0,1.0,77.0,-5.996463051815244,0.0008463105824181305,-6.63697228217705,0.0008359321738495851,-0.6405092303618064,1.0378408568434416e-05,-2.100184571485185,0.0027584925277115424,-6.429434096205989,0.11755726242898934
151,PHI-0,1.0,77.0,-6.648905383571247,0.0031904561233329076,-7.28920194776982,0.0025986008999545618,-0.6402965641985736,0.0005918552233784014,-2.482422222262662,0.0021226898021386997,-6.847124352551017,0.09904333037027735
152,PON-0,1.0,77.0,-5.894304522439435,0.003734519600271824,-6.534870237687464,0.0039582992800393235,-0.6405657152480292,0.00022377967976738855,-2.1795446080283627,0.0014774483264934357,-6.491749220845726,0.028988274319929896
153,POS-0,1.0,77.0,-4.288016087743314,0.010074035395839065,-4.927848761028841,0.009971716795613705,-0.6398326732855277,0.00010231860022541506,-2.1040983686342556,0.002691303126849398,-5.033779617047941,0.08336346217152757
154,PSI-0,1.0,77.0,-5.427196560340479,0.0027571373675137067,-6.068217257949962,0.002836576163316451,-0.6410206976094822,7.943879580252222e-05,-1.6105516858798588,0.0004690713110591105,-5.885852901870416,0.04403362056748383
155,PUN-0,1.0,77.0,-4.9328010053926645,0.005028766120851458,-5.57317176324955,0.004866215211976943,-0.6403707578568854,0.00016255090887445922,-2.297065019859323,0.00040551424908286116,-5.716425593436728,0.0009922611304142848
156,RHO-0,1.0,77.0,-6.4042101206516815,0.013774006982191445,-7.044729765812699,0.013700585440747926,-0.6405196451610171,7.34215414435746e-05,-2.341327110828902,0.0013552027566972047,-4.532485149105369,0.055248540341438446
157,RRO-0,1.0,77.0,-5.945061084195682,0.002578858753035096,-6.5851381432149125,0.002939997758985679,-0.6400770590192302,0.0003611390059508612,-2.3422717828961,0.00010370648622570755,-6.804568229747099,0.033087702420530274
158,RSN-0,1.0,77.0,-6.687447952838245,0.0028361212477072684,-7.328573181829078,0.0029372941278769105,-0.6411252289908322,0.00010117288016930903,-2.5222576940866723,0.0029013986983983386,-7.451162444375262,0.013490050300538403
159,RTE-0,1.0,77.0,-5.592454017220399,0.00573304609550318,-6.233507654344934,0.006070197799613375,-0.6410536371245342,0.0003371517041103056,-2.2948154423880127,0.006299299837510652,-6.578507079779115,0.008179157579606855
